time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-24T22:57:25.510Z,17.9496,-67.0026,9,3.35,md,24,213,0.0461,0.09,pr,pr2021114011,2021-04-24T23:51:22.657Z,"5 km ESE of La Parguera, Puerto Rico",earthquake,0.4,0.54,0.16,12,reviewed,pr,pr
2021-04-24T22:50:55.691Z,69.6809,-145.0098,0,2.5,ml,,,,0.97,ak,ak02158wnxp6,2021-04-24T23:06:57.316Z,"73 km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2021-04-24T22:18:00.630Z,17.9308,-66.8813,13,2.54,md,18,208,0.1674,0.14,pr,pr2021114010,2021-04-24T22:44:00.328Z,"5 km S of Maria Antonia, Puerto Rico",earthquake,0.48,0.28,0.28,11,reviewed,pr,pr
2021-04-24T21:17:42.616Z,14.0585,-92.6933,38,4.5,mb,,167,1.073,0.69,us,us6000e4ga,2021-04-24T22:04:22.040Z,"73 km SW of Brisas Barra de Suchiate, Mexico",earthquake,7.8,11,0.055,96,reviewed,us,us
2021-04-24T21:16:53.310Z,36.0589981,-120.1926651,10.46,2.53,md,35,137,0.1496,0.27,nc,nc73554015,2021-04-24T23:39:06.995Z,"8km NW of Avenal, CA",earthquake,0.62,1.17,0.14,38,automatic,nc,nc
2021-04-24T20:20:00.050Z,-1.9708,128.2362,10,4.7,mb,,75,2.859,0.77,us,us6000e4g1,2021-04-24T21:42:03.040Z,"169 km NNW of Amahai, Indonesia",earthquake,7.7,1.9,0.09,37,reviewed,us,us
2021-04-24T19:35:07.832Z,-5.6857,154.4634,87.42,4.4,mb,,99,2.73,0.36,us,us6000e4fy,2021-04-24T21:23:50.040Z,"132 km WNW of Panguna, Papua New Guinea",earthquake,9.5,7.8,0.064,71,reviewed,us,us
2021-04-24T18:14:19.192Z,-27.5312,-71.2211,34.97,4.3,mwr,,147,0.683,1.11,us,us6000e4fb,2021-04-24T20:40:14.821Z,"89 km WSW of Copiapó, Chile",earthquake,4,7.2,0.061,26,reviewed,us,us
2021-04-24T18:02:11.720Z,36.7719994,-121.4934998,7.15,2.81,md,61,48,0.01848,0.17,nc,nc73553930,2021-04-24T20:51:20.786Z,"9km SSE of San Juan Bautista, CA",earthquake,0.24,0.45,0.1,81,automatic,nc,nc
2021-04-24T18:00:32.729Z,13.8006,57.1081,10,5.6,mww,,35,11.119,1.3,us,us6000e4f6,2021-04-24T20:03:09.715Z,"Owen Fracture Zone region",earthquake,8.9,1.8,0.069,20,reviewed,us,us
2021-04-24T17:50:01.920Z,17.9288,-66.9326,10,2.48,md,18,213,0.1188,0.2,pr,pr2021114008,2021-04-24T18:19:51.650Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.59,0.81,0.24,11,reviewed,pr,pr
2021-04-24T16:56:58.488Z,36.4301,68.5916,54.16,4.4,mb,,114,1.738,0.97,us,us6000e4er,2021-04-24T19:42:52.040Z,"34 km NNW of Baghlān, Afghanistan",earthquake,7.4,9.1,0.149,13,reviewed,us,us
2021-04-24T16:02:45.156Z,31.65345244,-104.3123677,6.157275391,3,ml,29,66,0.1212110559,0.3,tx,tx2021hzrp,2021-04-24T16:15:08.546Z,"58 km S of Whites City, New Mexico",earthquake,1.359675338,2.119975461,0.1,19,reviewed,tx,tx
