Sequence,Date,Value1,Value2,Value3,Value4,Value5,Value6
2405,2021-09-01,00,00,00,00,00,00
2404,2021-08-28,19,35,01,40,47,54
2403,2021-08-25,32,12,14,34,33,10
2402,2021-08-21,60,29,06,30,25,22
2401,2021-08-18,08,38,13,33,11,48
2400,2021-08-14,09,26,36,25,21,53
2399,2021-08-12,52,42,35,27,51,44
2398,2021-08-10,36,59,17,30,08,54
2397,2021-08-07,06,14,48,46,20,39
2396,2021-08-04,03,25,02,49,42,39
2395,2021-07-31,44,11,04,45,57,12
2394,2021-07-28,42,44,05,25,36,16
2393,2021-07-24,32,28,38,51,27,26
2392,2021-07-21,53,34,25,15,23,11
2391,2021-07-17,05,08,13,27,50,36
2390,2021-07-14,20,13,09,56,32,22
2389,2021-07-10,39,30,16,51,37,40
2388,2021-07-07,08,37,45,48,33,30
2387,2021-07-03,38,26,30,08,31,48
2386,2021-07-01,35,13,11,50,49,16
2385,2021-06-29,32,12,43,37,24,60
2384,2021-06-26,25,26,09,13,22,31
2383,2021-06-23,41,16,40,20,15,13
2382,2021-06-19,53,06,19,09,38,55
2381,2021-06-16,47,41,32,07,23,42
2380,2021-06-12,53,39,11,16,20,24
2379,2021-06-09,26,32,56,02,08,46
2378,2021-06-05,37,49,41,54,11,38
2377,2021-06-02,35,05,44,18,43,29
2376,2021-05-29,22,12,17,18,19,14
2375,2021-05-26,58,06,46,53,44,02
2374,2021-05-22,25,37,39,13,41,12
2373,2021-05-19,44,26,23,49,60,24
2372,2021-05-15,19,25,44,46,03,57
2371,2021-05-12,30,48,36,04,39,15
2370,2021-05-08,56,31,37,07,44,42
2369,2021-05-06,60,09,19,04,17,37
2368,2021-05-04,13,07,36,25,58,04
2367,2021-04-30,29,05,23,34,53,60
2366,2021-04-28,33,41,38,27,04,35
2365,2021-04-24,44,50,17,28,37,01
2364,2021-04-22,42,56,33,20,51,44
2363,2021-04-17,34,06,58,39,14,24
2362,2021-04-14,35,22,32,20,50,03
2361,2021-04-10,46,21,35,29,14,22
2360,2021-04-08,15,21,24,45,29,10
2359,2021-04-06,39,42,43,51,31,32
2358,2021-04-03,05,43,16,11,09,57
2357,2021-03-31,28,34,51,19,40,30
2356,2021-03-27,51,36,03,58,10,25
2355,2021-03-24,31,07,30,41,56,50
2354,2021-03-20,18,54,25,06,30,42
2353,2021-03-17,19,03,34,53,48,41
2352,2021-03-13,17,55,09,41,38,49
2351,2021-03-10,35,49,19,22,47,41
2350,2021-03-06,45,28,34,29,25,41
