0,1,2,3,4,5,6,7,8,9,10,11,12,13
5,0,1,2,3,4,5,0,1,2,3,4,5,41
0,1,2,3,4,5,0,1,2,3,4,5,41,5
1,2,3,4,5,0,1,2,3,4,5,41,5,4
2,3,4,5,0,1,2,3,4,5,41,5,4,52
3,4,5,0,1,2,3,4,5,41,5,4,52,30
4,5,0,1,2,3,4,5,41,5,4,52,30,33
5,0,1,2,3,4,5,41,5,4,52,30,33,9
0,1,2,3,4,5,41,5,4,52,30,33,9,39
1,2,3,4,5,41,5,4,52,30,33,9,39,37
2,3,4,5,41,5,4,52,30,33,9,39,37,49
3,4,5,41,5,4,52,30,33,9,39,37,49,43
4,5,41,5,4,52,30,33,9,39,37,49,43,41
5,41,5,4,52,30,33,9,39,37,49,43,41,36
41,5,4,52,30,33,9,39,37,49,43,41,36,30
5,4,52,30,33,9,39,37,49,43,41,36,30,10
4,52,30,33,9,39,37,49,43,41,36,30,10,11
52,30,33,9,39,37,49,43,41,36,30,10,11,29
30,33,9,39,37,49,43,41,36,30,10,11,29,47
33,9,39,37,49,43,41,36,30,10,11,29,47,6
9,39,37,49,43,41,36,30,10,11,29,47,6,59
39,37,49,43,41,36,30,10,11,29,47,6,59,42
37,49,43,41,36,30,10,11,29,47,6,59,42,27
49,43,41,36,30,10,11,29,47,6,59,42,27,1
43,41,36,30,10,11,29,47,6,59,42,27,1,5
41,36,30,10,11,29,47,6,59,42,27,1,5,1
36,30,10,11,29,47,6,59,42,27,1,5,1,19
30,10,11,29,47,6,59,42,27,1,5,1,19,46
10,11,29,47,6,59,42,27,1,5,1,19,46,6
11,29,47,6,59,42,27,1,5,1,19,46,6,16
29,47,6,59,42,27,1,5,1,19,46,6,16,2
47,6,59,42,27,1,5,1,19,46,6,16,2,19
6,59,42,27,1,5,1,19,46,6,16,2,19,40
59,42,27,1,5,1,19,46,6,16,2,19,40,7
42,27,1,5,1,19,46,6,16,2,19,40,7,13
27,1,5,1,19,46,6,16,2,19,40,7,13,22
1,5,1,19,46,6,16,2,19,40,7,13,22,47
5,1,19,46,6,16,2,19,40,7,13,22,47,56
1,19,46,6,16,2,19,40,7,13,22,47,56,38
19,46,6,16,2,19,40,7,13,22,47,56,38,21
46,6,16,2,19,40,7,13,22,47,56,38,21,20
6,16,2,19,40,7,13,22,47,56,38,21,20,3
16,2,19,40,7,13,22,47,56,38,21,20,3,5
2,19,40,7,13,22,47,56,38,21,20,3,5,53
19,40,7,13,22,47,56,38,21,20,3,5,53,17
40,7,13,22,47,56,38,21,20,3,5,53,17,38
7,13,22,47,56,38,21,20,3,5,53,17,38,4
13,22,47,56,38,21,20,3,5,53,17,38,4,47
22,47,56,38,21,20,3,5,53,17,38,4,47,37
47,56,38,21,20,3,5,53,17,38,4,47,37,55
56,38,21,20,3,5,53,17,38,4,47,37,55,43
38,21,20,3,5,53,17,38,4,47,37,55,43,56
21,20,3,5,53,17,38,4,47,37,55,43,56,54
20,3,5,53,17,38,4,47,37,55,43,56,54,8
3,5,53,17,38,4,47,37,55,43,56,54,8,60
5,53,17,38,4,47,37,55,43,56,54,8,60,25
53,17,38,4,47,37,55,43,56,54,8,60,25,4
17,38,4,47,37,55,43,56,54,8,60,25,4,18
38,4,47,37,55,43,56,54,8,60,25,4,18,57
4,47,37,55,43,56,54,8,60,25,4,18,57,21
47,37,55,43,56,54,8,60,25,4,18,57,21,38
37,55,43,56,54,8,60,25,4,18,57,21,38,25
55,43,56,54,8,60,25,4,18,57,21,38,25,15
43,56,54,8,60,25,4,18,57,21,38,25,15,58
56,54,8,60,25,4,18,57,21,38,25,15,58,37
54,8,60,25,4,18,57,21,38,25,15,58,37,59
8,60,25,4,18,57,21,38,25,15,58,37,59,38
60,25,4,18,57,21,38,25,15,58,37,59,38,20
25,4,18,57,21,38,25,15,58,37,59,38,20,27
4,18,57,21,38,25,15,58,37,59,38,20,27,43
18,57,21,38,25,15,58,37,59,38,20,27,43,16
57,21,38,25,15,58,37,59,38,20,27,43,16,19
21,38,25,15,58,37,59,38,20,27,43,16,19,4
38,25,15,58,37,59,38,20,27,43,16,19,4,47
25,15,58,37,59,38,20,27,43,16,19,4,47,32
15,58,37,59,38,20,27,43,16,19,4,47,32,50
58,37,59,38,20,27,43,16,19,4,47,32,50,54
37,59,38,20,27,43,16,19,4,47,32,50,54,18
59,38,20,27,43,16,19,4,47,32,50,54,18,56
38,20,27,43,16,19,4,47,32,50,54,18,56,16
20,27,43,16,19,4,47,32,50,54,18,56,16,2
27,43,16,19,4,47,32,50,54,18,56,16,2,27
43,16,19,4,47,32,50,54,18,56,16,2,27,47
16,19,4,47,32,50,54,18,56,16,2,27,47,23
19,4,47,32,50,54,18,56,16,2,27,47,23,53
4,47,32,50,54,18,56,16,2,27,47,23,53,60
47,32,50,54,18,56,16,2,27,47,23,53,60,12
32,50,54,18,56,16,2,27,47,23,53,60,12,33
50,54,18,56,16,2,27,47,23,53,60,12,33,52
54,18,56,16,2,27,47,23,53,60,12,33,52,35
18,56,16,2,27,47,23,53,60,12,33,52,35,51
56,16,2,27,47,23,53,60,12,33,52,35,51,60
16,2,27,47,23,53,60,12,33,52,35,51,60,58
2,27,47,23,53,60,12,33,52,35,51,60,58,49
27,47,23,53,60,12,33,52,35,51,60,58,49,32
47,23,53,60,12,33,52,35,51,60,58,49,32,20
23,53,60,12,33,52,35,51,60,58,49,32,20,34
