date,aapl,amzn,goog,tsla
20200831,129.039993,3450.959961,1634.180054,498.320007
20200901,134.179993,3499.120117,1660.709961,475.049988
20200902,131.399994,3531.449951,1728.280029,447.369995
20200903,120.879997,3368.000000,1641.839966,407.000000
20200904,120.959999,3294.620117,1591.040039,418.320007
20200908,112.820000,3149.840088,1532.390015,330.209991
20200909,117.320000,3268.610107,1556.959961,366.279999
20200910,113.489998,3175.110107,1532.020020,371.339996
20200911,112.000000,3116.219971,1520.719971,372.720001
20200914,115.360001,3102.969971,1519.280029,419.619995
20200915,115.540001,3156.129883,1541.439941,449.760010
20200916,112.129997,3078.100098,1520.900024,441.760010
20200917,110.339996,3008.729980,1495.530029,423.429993
20200918,106.839996,2954.909912,1459.989990,442.149994
20200921,110.080002,2960.469971,1431.160034,449.390015
20200922,111.809998,3128.989990,1465.459961,424.230011
20200923,107.120003,2999.860107,1415.209961,380.359985
20200924,108.220001,3019.790039,1428.290039,387.790009
20200925,112.279999,3095.129883,1444.959961,407.339996
20200928,114.959999,3174.050049,1464.520020,421.200012
20200929,114.089996,3144.879883,1469.329956,419.070007
20200930,115.809998,3148.729980,1469.599976,429.010010
20201001,116.790001,3221.260010,1490.089966,448.160004
20201002,113.019997,3125.000000,1458.420044,415.089996
20201005,116.500000,3199.199951,1486.020020,425.679993
20201006,113.160004,3099.959961,1453.439941,413.980011
20201007,115.080002,3195.689941,1460.290039,425.299988
20201008,114.970001,3190.550049,1485.930054,425.920013
20201009,116.970001,3286.649902,1515.219971,434.000000
20201012,124.400002,3442.929932,1569.150024,442.299988
20201013,121.099998,3443.629883,1571.680054,446.649994
20201014,121.190002,3363.709961,1568.079956,461.299988
20201015,120.709999,3338.649902,1559.130005,448.880005
20201016,119.019997,3272.709961,1573.010010,439.670013
20201019,115.980003,3207.209961,1534.609985,430.829987
20201020,117.510002,3217.010010,1555.930054,421.940002
20201021,116.870003,3184.939941,1593.310059,422.640015
20201022,115.750000,3176.399902,1615.329956,425.790009
20201023,115.040001,3204.399902,1641.000000,420.630005
20201026,115.050003,3207.040039,1590.449951,420.279999
20201027,116.599998,3286.330078,1604.260010,424.679993
20201028,111.199997,3162.780029,1516.619995,406.019989
20201029,115.320000,3211.010010,1567.239990,410.829987
20201030,108.860001,3036.149902,1621.010010,388.040009
20201102,108.769997,3004.479980,1626.030029,400.510010
20201103,110.440002,3048.409912,1650.209961,423.899994
20201104,114.949997,3241.159912,1749.130005,420.980011
20201105,119.029999,3322.000000,1763.369995,438.089996
20201106,118.690002,3311.370117,1761.750000,429.950012
20201109,116.320000,3143.739990,1763.000000,421.260010
20201110,115.970001,3035.020020,1740.390015,410.359985
20201111,119.489998,3137.389893,1752.709961,417.130005
20201112,119.209999,3110.280029,1749.839966,411.760010
20201113,119.260002,3128.810059,1777.020020,408.500000
20201116,120.300003,3131.060059,1781.380005,408.089996
20201117,119.389999,3135.659912,1770.150024,441.609985
20201118,118.029999,3105.459961,1746.780029,486.640015
20201119,118.639999,3117.020020,1763.920044,499.269989
20201120,117.339996,3099.399902,1742.189941,489.609985
20201123,113.849998,3098.389893,1734.859985,521.849976
20201124,115.169998,3118.060059,1768.880005,555.380005
20201125,116.029999,3185.070068,1771.430054,574.000000
20201127,116.589996,3195.340088,1793.189941,585.760010
20201130,119.050003,3168.040039,1760.739990,567.599976
20201201,122.720001,3220.080078,1798.099976,584.760010
20201202,123.080002,3203.530029,1827.949951,568.820007
20201203,122.940002,3186.729980,1826.770020,593.380005
20201204,122.250000,3162.580078,1827.989990,599.039978
20201207,123.750000,3158.000000,1819.479980,641.760010
20201208,124.379997,3177.290039,1818.550049,649.880005
20201209,121.779999,3104.199951,1784.130005,604.479980
20201210,123.239998,3101.489990,1775.329956,627.070007
20201211,122.410004,3116.419922,1781.770020,609.989990
20201214,121.779999,3156.969971,1760.060059,639.830017
20201215,127.879997,3165.120117,1767.770020,633.250000
20201216,127.809998,3240.959961,1763.000000,622.770020
